STT,Mã khách hàng,Tên khách hàng,Địa chỉ,"Nhóm KH, NCC",Mã số thuế,Điện thoại,Ngừng theo dõi,
1,9499,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN LONG HẢI TẠI THÀNH PHỐ HỒ CHÍ MINH,"Số 5/12 Đường số 9, Khu phố 2, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0100229499-003,,FALSE,
2,7545,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG HUD1,"168 đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",,0101043264,,FALSE,
3,7502,CHI NHÁNH MIỀN NAM-CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐẦU TƯ XÂY DỰNG VIỆT NAM,"tổ 9, ấp 10, Xã Bình Sơn, Huyện Long Thành, Tỉnh Đồng Nai, Việt Nam",,0101184346-004,,FALSE,
4,9091,CÔNG TY CỔ PHẦN KIỂM ĐỊNH VÀ KỸ THUẬT XÂY DỰNG HÀ NỘI,"Số 36 Nguyên Hồng, Phường Láng Hạ, Quận Đống đa, Thành phố Hà Nội, Việt Nam",,0101539091,,FALSE,
5,7521,CÔNG TY CỔ PHẦN XÂY DỰNG HẠ TẦNG AN PHÚ,"Tầng 7, tòa nhà Zen Tower, số 12 Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",,0101904509,,FALSE,
6,4623,CÔNG TY TNHH AJ RENTAL,"Lô CN3*, khu công nghiệp Thạch Thất - Quốc Oai, Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam",,0102684623,,FALSE,
7,4623-001,CHI NHÁNH CÔNG TY TNHH AJ RENTAL TẠI THÀNH PHỐ HỒ CHÍ MINH,"Phòng C, Tầng 12, Tòa nhà AP Tower, 518B Điện Biên Phủ, Phường 21, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0102684623-001,,FALSE,
8,1709,CÔNG TY TNHH KSG VIỆT NAM,"Phòng 1914-7 Tầng 19 Tòa nhà Keangnam Landmark Tower, khu E6, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",,0106211709,,FALSE,
9,4677,CÔNG TY CỔ PHẦN CÔNG NGHIỆP LẠNH THIÊN AN,"Số 53A Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội",,0107594677,,FALSE,
10,KH00016,CÔNG TY TNHH NGUYÊN LIỆU GỐM SỨ HUỆ THÀNH,"Đường số 3, KCN Tam Phước, Phường Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",,0108155344,,FALSE,
11,KH00075,CHI NHÁNH CÔNG TY TNHH ICEL LOGISTICS TẠI THÀNH PHỐ HỒ CHÍ MINH,"Phòng 1406, Tầng 14, Saigon Riverside Office Center, 2A - 4A, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0108307780-002,,FALSE,
12,7522,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NĂNG LƯỢNG HTB,"CL20-10, khu đất dịch vụ La Dương-La Nội, Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",,0108776542,,FALSE,
13,KH00078,CÔNG TY TNHH KOAS TRADING,"tầng 6 tòa nhà Việt á, số 9 phố Duy Tân, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",,0109498915,,FALSE,
14,5172,CÔNG TY TNHH FIXRUT VIỆT NAM,"Số 10, ngách 28, ngõ 65 Nguyễn Đổng Chi, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",,0110475172,,FALSE,
15,4546,CÔNG TY TNHH QUỐC TẾ B2B,"Số 92 gác 2 Hạ Lý, Phường Hạ Lý, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam",,0201154546,,FALSE,
16,KH00069,CÔNG TY CỔ PHẦN LILAMA 18,"9-19 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0300390921,,FALSE,
17,7566,CÔNG TY CỔ PHẦN MẠC TÍCH,"Đường số 2, KCN Nhơn Trạch III - Giai đoạn 2, Xã Phước An, Tỉnh Đồng Nai, Việt Nam.",,0301096513,,FALSE,
18,7494,CÔNG TY CỔ PHẦN DỆT MAY- ĐẦU TƯ- THƯƠNG MẠI THÀNH CÔNG,"36 Tây Thạnh, Phường Tây Thạnh, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",,0301446221,,FALSE,
19,7506,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ THIÊN LONG,"236 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0301873209,,FALSE,
20,KH00062,CÔNG TY CỔ PHẦN CƠ ĐIỆN HOÀNG HƯNG,"Tòa nhà Golden King, Tầng 8, số 15 Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",,0301883447,,FALSE,
21,KH00043,CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI AN TÂM,"50/6 Nguyễn Đình Chiểu, Phường 03, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",,0301927091,,FALSE,
22,7542,CÔNG TY CỔ PHẦN LIZEN,"24A Phan Đăng Lưu, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0302310209,,FALSE,
23,7552,CÔNG TY CỔ PHẦN XÂY LẮP III - PETROLIMEX,"2286, Huỳnh Tấn Phát, ấp 3, Xã Phú Xuân, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,0302536580,,FALSE,
24,1014,CÔNG TY TNHH CJ KOREA EXPRESS FREIGHT VIỆT NAM,"Tầng 2, tòa nhà S.O.H.O Biz, số 38 Huỳnh Lan Khanh, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0302601014,,FALSE,
25,4001,CÔNG TY CỔ PHẦN CHUÔNG VÀNG,"108 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0303584001,,FALSE,
26,7551,CÔNG TY CỔ PHẦN VẬN TẢI LONG LỘC,"69/1 ấp Đông, Xã Thới Tam Thôn, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",,0303847194,,FALSE,
27,7567,CÔNG TY CỔ PHẦN GIAO NHẬN TIẾP VẬN QUỐC TẾ,"Tầng 5, Tòa nhà Cảng Sài Gòn, Số 3 Nguyễn Tất Thành, Phường Xóm Chiếu, Thành phố Hồ Chí Minh, Việt Nam.",,0303957341,,FALSE,
28,2961,CÔNG TY TNHH DSV SOLUTIONS,"Tầng 3 Tòa nhà Republic Plaza, số 18E đường Cộng Hòa, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,0304182961,,FALSE,
29,0326,CÔNG TY CỔ PHẦN QH PLUS,"129 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304300326,,FALSE,
30,1885,CÔNG TY TNHH 86 DH VINA,"Số N7, Đường Cư xá Tân Cảng, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304401885,,FALSE,
31,KH00026,CÔNG TY CHO THUÊ TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN QUỐC TẾ CHAILEASE,"Tầng 28, cao ốc Saigon Trade Centre, số 37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,0304738328,,FALSE,
32,KH00072,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU ĐOÀN GIA,"N7 Cư xá Tân Cảng, Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",,0304835346,,FALSE,
33,KH00037,CÔNG TY CỔ PHẦN LOGISTICS HÓA CHẤT XANH,"13 Đường DC3, Phường Sơn Kỳ, Quận Tân phú, Thành phố Hồ Chí Minh, Việt Nam",,0305220017,,FALSE,
34,7554,CÔNG TY TNHH CƠ ĐIỆN HỮU PHÁT,"63 Nguyễn Hữu Tiến, Phường Tây Thạnh, Thành phố Hồ Chí Minh, Việt Nam.",,0305799330,,FALSE,
